instant,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt,year,day,dayofweek,hour
22,1,0,1,0,6,0,1,0.0,0.0,0.4113110539845758,0.2739106430472409,981,2011,22,5,0
23,1,0,1,0,0,0,1,0.04732856680310765,0.025950137721664657,0.44886580976863744,0.4354283161712238,986,2011,23,6,0
24,1,0,1,0,1,1,1,0.04842927530192914,0.051009521329268614,0.5056442159383032,0.2443903286775353,1416,2011,24,0,0
25,1,0,1,0,2,1,2,0.20802529908108058,0.20405751231514158,0.6344030848329048,0.18263573555252222,1985,2011,25,1,0
26,1,0,1,0,3,1,3,0.20045856103375465,0.1634629621656587,0.8868894601542415,0.5376889359636423,506,2011,26,2,0
27,1,0,1,0,4,1,1,0.17197886781447852,0.18459638573827314,0.7069408740359896,0.1480965348907824,431,2011,27,3,0
28,1,0,1,0,5,1,2,0.18271001621950178,0.18934418654958657,0.8154683804627249,0.16857679404624604,1167,2011,28,4,0
29,1,0,1,0,6,0,1,0.17390536084024472,0.17465448821411278,0.6701686375321335,0.2163308803048643,1098,2011,29,5,0
30,1,0,1,0,0,0,1,0.19922064370182346,0.22479189484638487,0.7425953727506426,0.061841812235650884,1096,2011,30,6,0
31,1,0,1,0,1,1,2,0.15404678719947912,0.1406887448374065,0.620822622107969,0.3068547944648111,1501,2011,31,0,0
32,1,0,2,0,2,1,2,0.1684018183461375,0.20406276285515956,0.8530231362467865,0.016891290143786042,1360,2011,1,1,0
33,1,0,2,0,3,1,2,0.2542535371146097,0.2301671351898542,0.7973439588688945,0.4737527829497242,1526,2011,2,2,0
34,1,0,2,0,4,1,1,0.1617983268116946,0.12969936457964698,0.45020668380462714,0.5028489051188094,1550,2011,3,3,0
35,1,0,2,0,5,1,2,0.19261588640323757,0.1962617730233554,0.6017655526992287,0.1784003062840828,1708,2011,4,4,0
36,1,0,2,0,6,0,2,0.22049940471112356,0.2152569141736227,0.9554416452442158,0.2503398407158286,1005,2011,5,5,0
37,1,0,2,0,0,0,1,0.28695202222276794,0.27906803964787774,0.5844041131105397,0.20861534359460038,1623,2011,6,6,0
38,1,0,2,0,1,1,1,0.26902120737191165,0.29480259544694165,0.7592113110539844,0.0,1712,2011,7,0,0
39,1,0,2,0,2,1,1,0.20467735292263678,0.15643511435151103,0.5531280205655525,0.6850740832200168,1530,2011,8,1,0
40,1,0,2,0,3,1,2,0.09575834841069392,0.0856013916031263,0.5087742930591258,0.31041930749757546,1605,2011,9,2,0
41,1,0,2,0,4,1,1,0.10786538243924398,0.09251241490187256,0.4497593830334189,0.38204719051662056,1538,2011,10,3,0
42,1,0,2,0,5,1,1,0.16449946749302508,0.1764698624253504,0.5206827763496144,0.13665416670363917,1746,2011,11,4,0
43,1,0,2,0,6,0,1,0.2067873817491494,0.2019940500880515,0.5595547557840616,0.341861472245602,1472,2011,12,5,0
44,1,0,2,0,0,0,1,0.3257970580097176,0.32165254446419805,0.47032493573264766,0.4663402406684748,1589,2011,13,6,0
45,1,0,2,0,1,1,1,0.45044697929184546,0.4190986292940228,0.38646066838046256,0.8061809564971418,1913,2011,14,0,0
46,1,0,2,0,2,1,1,0.26195824345353125,0.22997942838420926,0.32323701799485854,0.5323302630619274,1815,2011,15,1,0
47,1,0,2,0,3,1,1,0.32799822185453187,0.3112656636735087,0.4354529562982004,0.44666291674989983,2115,2011,16,2,0
48,1,0,2,0,4,1,1,0.4768166436846091,0.45888197101071837,0.5192802056555269,0.3997269154496209,2475,2011,17,3,0
49,1,0,2,0,5,1,1,0.5854622431416469,0.5682572827615319,0.531277120822622,0.47508812268330997,2927,2011,18,4,0
50,1,0,2,0,6,0,1,0.4304061356144766,0.40998106655269484,0.19323084832904874,0.9999999999999999,1635,2011,19,5,0
51,1,0,2,0,0,0,1,0.28617231151063127,0.2602435410481968,0.419358354755784,0.384860710214613,1812,2011,20,6,0
52,1,0,2,1,1,0,2,0.3091028947266494,0.2690972641536182,0.6221079691516708,0.5679797218814135,1107,2011,21,0,0
53,1,0,2,0,2,1,1,0.15580493359421582,0.14040390304142775,0.5941161953727505,0.325231406584545,1450,2011,22,1,0
54,1,0,2,0,3,1,1,0.2058241352362663,0.21874721065061536,0.4350056555269922,0.10540894833447206,1917,2011,23,2,0
55,1,0,2,0,4,1,2,0.2993805603436601,0.2758127048366924,0.7171115681233932,0.44386021828151506,1807,2011,24,3,0
56,1,0,2,0,5,1,2,0.386333493916611,0.3562378515630332,0.7323125964010282,0.6517208893232769,1461,2011,25,4,0
57,1,0,2,0,6,0,1,0.2827332303338858,0.2666255724401254,0.5531280205655525,0.3055107977475393,1969,2011,26,5,0
58,1,0,2,0,0,0,1,0.3599169962505535,0.35708843904595583,0.6992287917737788,0.17279274510139164,2402,2011,27,6,0
59,1,0,2,0,1,1,2,0.4406664197582745,0.42141936798199686,0.901145501285347,0.5286770159463803,1446,2011,28,0,0
60,1,0,3,0,2,1,1,0.26269238665651695,0.24258728760252984,0.5501285347043701,0.37012219548897557,1851,2011,1,1,0
61,1,0,3,0,3,1,1,0.34918584784553025,0.3163468737759678,0.4622961439588688,0.5679515866844336,2134,2011,2,2,0
62,1,0,3,0,4,1,1,0.17619765970336065,0.15891205660502178,0.3273347043701798,0.39031244569095386,1685,2011,3,3,0
63,1,0,3,0,5,1,2,0.25636356594112225,0.2318236805655461,0.627678149100257,0.3418160230812498,1944,2011,4,4,0
64,1,0,3,0,6,0,2,0.41141967346829245,0.3934090496207534,0.8114827763496142,0.4468360564236225,2077,2011,5,5,0
65,1,0,3,0,0,0,2,0.40174290659445405,0.37696567091925404,0.9750755784061695,0.6446827615864528,605,2011,6,6,0
66,1,0,3,0,1,1,1,0.2564547009594239,0.20922273105788924,0.5668935732647814,0.6404949457282869,1872,2011,7,0,0
67,1,0,3,0,2,1,1,0.29539087176467527,0.2931513006112678,0.43273316195372746,0.16284154235418444,2133,2011,8,1,0
68,1,0,3,0,3,1,2,0.29960966365355735,0.2724221686200425,0.7973439588688945,0.3781840115466848,1891,2011,9,2,0
69,1,0,3,0,4,1,3,0.4176522961088132,0.4024517921668243,0.0,0.4684915011144784,623,2011,10,3,0
70,1,0,3,0,5,1,2,0.3257970580097176,0.2965641516229943,0.6679331619537273,0.4059296442607336,1977,2011,11,4,0
71,1,0,3,0,6,0,1,0.34180264559895074,0.3238013279665813,0.6113964010282775,0.3795366652476427,2132,2011,12,5,0
72,1,0,3,0,0,0,1,0.4116487767781898,0.39513122674667084,0.5423043701799485,0.48737887527169393,2417,2011,13,6,0
73,1,0,3,0,1,1,1,0.3368028772337889,0.33200529674477014,0.511009768637532,0.19806680897305012,2046,2011,14,0,0
74,1,0,3,0,2,1,2,0.3268970070500531,0.31386205571243,0.6741922879177377,0.30061527347303246,2056,2011,15,1,0
75,1,0,3,0,3,1,2,0.3874334429569466,0.3778556374523119,0.7984802056555269,0.34132041076521885,2192,2011,16,2,0
76,1,0,3,0,4,1,1,0.45044697929184546,0.43482793455306873,0.6199660668380462,0.35530576791016294,2744,2011,17,3,0
77,1,0,3,0,5,1,1,0.6086674971767131,0.5879809363393024,0.5400688946015424,0.40170287197598026,3239,2011,18,4,0
78,1,0,3,0,6,0,1,0.5232284175188845,0.5085875207265067,0.389888946015424,0.6985292001141854,3117,2011,19,5,0
79,1,0,3,0,0,0,1,0.3460214374878329,0.3238013279665813,0.4871465295629819,0.3512845989879552,2471,2011,20,6,0
80,2,0,3,0,1,1,2,0.46998404884026895,0.4340429788203716,0.7582426735218508,0.5267227018792363,2077,2011,21,0,0
81,2,0,3,0,2,1,1,0.4842011116953316,0.47461258890476876,0.6422447300771207,0.39030378870726773,2703,2011,22,1,0
82,2,0,3,0,3,1,2,0.3643205897043251,0.3398010360365563,0.8633059125964009,0.4087236857454322,2121,2011,23,2,0
83,2,0,3,0,4,1,2,0.2858976406915832,0.2517153514238939,0.8286200514138816,0.42934029239395244,1865,2011,24,3,0
84,2,0,3,0,5,1,1,0.25952797629881963,0.23265457852340105,0.5089974293059125,0.4010709121668927,2210,2011,25,4,0
85,2,0,3,0,6,0,1,0.2616367393611891,0.2343071859940794,0.40531311053984564,0.3552884539427907,2496,2011,26,5,0
86,2,0,3,0,0,0,2,0.2454476159712095,0.22481420964146157,0.5078796915167094,0.3005957952597387,1693,2011,27,6,0
87,2,0,3,0,1,1,1,0.2597570796087169,0.23431112389909298,0.31071876606683796,0.3609869134541862,2028,2011,28,0,0
88,2,0,3,0,2,1,1,0.30804851319546467,0.28069176914845684,0.32305089974293044,0.3930004391254974,2425,2011,29,1,0
89,2,0,3,0,3,1,2,0.30488410283776723,0.28652249383849127,0.6649532133676092,0.27589742080320784,1536,2011,30,2,0
90,2,0,3,0,4,1,3,0.26480114971888646,0.23431243653409745,0.9443012853470436,0.37276473975916696,1685,2011,31,3,0
91,2,0,4,0,5,1,2,0.30488410283776723,0.2682821178158173,0.7056555269922878,0.46163300578914135,2227,2011,1,4,0
92,2,0,4,0,6,0,2,0.3238705649839514,0.3105266501659695,0.6722365038560411,0.3283976983677473,2252,2011,2,5,0
93,2,0,4,0,0,0,1,0.40403520545756993,0.39339329800069933,0.4935732647814909,0.29607901402150005,3249,2011,3,6,0
94,2,0,4,0,1,1,1,0.6508592133579634,0.608878085611105,0.4383033419023135,0.73619573613254,3115,2011,4,0,0
95,2,0,4,0,2,1,2,0.44939259776066076,0.4190986292940228,0.6602395886889458,0.7415976939526856,1795,2011,5,1,0
96,2,0,4,0,3,1,1,0.4198572572460567,0.40499830407557413,0.4841470437017994,0.47105829677741606,2808,2011,6,2,0
97,2,0,4,0,4,1,1,0.47892667251112164,0.46549502616344085,0.6199660668380462,0.25300835593707843,3141,2011,7,3,0
98,2,0,4,0,5,1,2,0.35024022937671495,0.32213296887584886,0.8598971722365037,0.3929917821418113,1471,2011,8,4,0
99,2,0,4,0,6,0,2,0.3586790789186223,0.34451339570274797,0.902313624678663,0.18974961189660008,2455,2011,9,5,0
100,2,0,4,0,0,0,2,0.4652146495491475,0.45636039916705423,0.8817480719794344,0.21936515308685312,2895,2011,10,6,0
101,2,0,4,0,1,1,2,0.6791098032673423,0.6381340945916286,0.7372298200514138,0.6039668030646587,3348,2011,11,0,0
102,2,0,4,0,2,1,2,0.5612013418112527,0.5434104147611581,0.7600688946015424,0.496631026586246,2034,2011,12,1,0
103,2,0,4,0,3,1,2,0.4472825689341481,0.44395074783441474,0.8423311053984575,0.44412209203802044,2162,2011,13,2,0
104,2,0,4,0,4,1,1,0.51689959680349,0.5036218225044445,0.5556987146529562,0.14130729543493445,3267,2011,14,3,0
105,2,0,4,1,5,0,1,0.4905299324107263,0.47628094799550125,0.6902313624678662,0.3916564424082256,3126,2011,15,4,0
106,2,0,4,0,6,0,3,0.4704878229692144,0.454726168586439,0.9134529562982004,0.6393175959469732,795,2011,16,5,0
107,2,0,4,0,0,0,1,0.5031875738415157,0.4812466462175634,0.4931444730077119,0.5585652521227463,3744,2011,17,6,0
108,2,0,4,0,1,1,1,0.5738589832420422,0.5566575272266752,0.5578406169665808,0.25572448456860186,3429,2011,18,0,0
109,2,0,4,0,2,1,2,0.5654201337001349,0.5384276522840374,0.6846611825192801,0.2436133643917051,3204,2011,19,1,0
110,2,0,4,0,3,1,1,0.6782845250460547,0.6370511707129077,0.6315341902313624,0.4253104664880586,3944,2011,20,2,0
112,2,0,4,0,5,1,2,0.3512958766720428,0.3188185654894605,0.7502138817480718,0.3768227008620407,1683,2011,22,4,0
113,2,0,4,0,6,0,2,0.5074063657303979,0.4870550561125211,0.9130251928020564,0.4010709121668927,4036,2011,23,5,0
115,2,0,4,0,1,1,1,0.6930521953033568,0.650319285338497,0.7986293059125963,0.3028314612966819,4073,2011,25,0,0
117,2,0,4,0,3,1,2,0.7099286286230283,0.6511619970113927,0.8590406169665807,0.5774028486237667,3872,2011,27,2,0
118,2,0,4,0,4,1,2,0.7067642182653311,0.6561329457734728,0.7206508997429305,0.5962491021084733,4058,2011,28,3,0
121,2,0,5,0,0,0,2,0.496858753126121,0.484538734808875,0.7836329048843186,0.13190148265995347,3351,2011,1,6,0
124,2,0,5,0,3,1,2,0.44939259776066076,0.42736822982243716,0.7579259640102827,0.6137535231218294,2633,2011,4,2,0
133,2,0,5,0,5,1,2,0.5738589832420422,0.5450459579767779,0.8877460154241644,0.2906943701687267,4105,2011,13,4,0
134,2,0,5,0,6,0,2,0.584406595846319,0.553353624920323,0.9485861182519278,0.19379025903210154,3409,2011,14,5,0
136,2,0,5,0,1,1,1,0.6561336525421734,0.618831796850306,0.8101974293059124,0.17630531623203918,3958,2011,16,0,0
137,2,0,5,0,2,1,2,0.6360928088648046,0.6031024915912602,0.8616113110539845,0.5019875352420394,4123,2011,17,1,0
138,2,0,5,0,3,1,2,0.6213251386075025,0.5881765189549745,0.8946015424164523,0.3378035111427283,3855,2011,18,2,0
150,2,0,5,1,1,0,1,0.8533814762505939,0.7771093256941476,0.7043701799485861,0.18572844297439242,4098,2011,30,0,0
151,2,0,5,0,2,1,1,0.9061220708002642,0.8483735927240116,0.6546704370179948,0.14266860611957846,3982,2011,31,1,0
152,2,0,6,0,3,1,2,0.89241004783829,0.8425769965440946,0.6962293059125962,0.3499232883033112,3974,2011,1,2,0
160,2,0,6,0,4,1,2,0.9483137869815145,0.8906351893292224,0.5844041131105397,0.22610894337834886,3915,2011,9,3,0
167,2,0,6,0,4,1,2,0.7204762412273051,0.677682474642517,0.7077974293059125,0.3485792915860394,3767,2011,16,3,0
171,2,0,6,0,1,1,2,0.7289150907692125,0.677682474642517,0.7673521850899742,0.23821140657155956,4010,2011,20,0,0
189,3,0,7,0,5,1,2,0.8227930199689483,0.776309930976401,0.7793491002570693,0.3889597919899959,4040,2011,8,4,0
192,3,0,7,0,1,1,1,0.8903000190117774,0.8541767520789513,0.6538128534704368,0.5127719726690367,4086,2011,11,0,0
202,3,0,7,0,4,1,2,0.9567526365234218,0.980933976559489,0.710796915167095,0.3822333156658724,3784,2011,21,3,0
203,3,0,7,0,5,1,1,0.9989443527046721,0.9999999999999999,0.5968298200514137,0.18978640407726613,3387,2011,22,4,0
204,3,0,7,0,6,0,1,1.0,0.9519457451198854,0.5141388174807197,0.18571978599070627,3285,2011,23,5,0
205,3,0,7,0,0,0,1,0.9757390986696057,0.939530843247228,0.5664092544987146,0.2678529187128709,3606,2011,24,6,0
206,3,0,7,0,1,1,1,0.8660391176813833,0.8425651828290539,0.7784915167095114,0.09825676483758305,3840,2011,25,0,0
210,3,0,7,0,5,1,1,0.9862867112738827,0.9278982718372584,0.5578406169665808,0.27860272820512366,3846,2011,29,4,0
215,3,0,8,0,3,1,2,0.8512727131882243,0.7887195823090405,0.6760925449871464,0.1951602267004318,3574,2011,3,2,0
219,3,0,8,0,0,0,1,0.8649847361501987,0.835127792893499,0.774207712082262,0.3377926899131206,3785,2011,7,6,0
225,3,0,8,0,6,0,2,0.7932576794543442,0.7439862939903369,0.7502138817480718,0.3593637290130367,4150,2011,13,5,0
226,3,0,8,0,0,0,2,0.7816556853188827,0.7158040204435026,0.8406169665809767,0.38355783416985034,3820,2011,14,6,0
230,3,0,8,0,4,1,1,0.8259574303266457,0.7655135080643043,0.673093059125964,0.4064447347900583,3805,2011,18,3,0
231,3,0,8,0,5,1,2,0.7922032979231595,0.7273985254383413,0.743359383033419,0.2032220427581409,4153,2011,19,4,0
233,3,0,8,0,0,0,1,0.8249017830313178,0.7829282366691415,0.7917737789203083,0.4400901018862052,3873,2011,21,6,0
237,3,0,8,0,4,1,2,0.7911489163919747,0.7439810434503189,0.793487917737789,0.3580197322957649,3542,2011,25,3,0
239,3,0,8,0,6,0,2,0.7858744772077648,0.7304635281738726,0.8740359897172235,0.7146528322296037,1115,2011,27,5,0
248,3,0,9,1,1,0,2,0.7774356276658574,0.7174553152791765,0.812768123393316,0.36205172244758027,3351,2011,5,0,0
249,3,0,9,0,2,1,3,0.6086674971767131,0.5724800295710413,0.9120380462724934,0.6461025069109781,2710,2011,6,1,0
250,3,0,9,0,3,1,3,0.6835589642302647,0.6105845111169683,0.9430159383033417,0.11170214262510475,1996,2011,7,2,0
251,3,0,9,0,4,1,3,0.7275392051456856,0.625196763987176,0.9661336760925447,0.31887934480484664,1842,2011,8,3,0
252,3,0,9,0,5,1,2,0.7479015529153965,0.6561552605685493,0.9233079691516708,0.17091201539557976,3544,2011,9,4,0
258,3,0,9,0,4,1,2,0.6561336525421734,0.6229784108295537,0.7292205655526991,0.4885518965611646,3659,2011,15,3,0
263,3,0,9,0,2,1,2,0.6360928088648046,0.5948171394427917,0.9061696658097684,0.1937989160157877,3641,2011,20,1,0
266,4,0,9,0,5,1,2,0.6962166056610541,0.5815700269772744,0.9999999999999999,0.07133008278024222,2395,2011,23,4,0
270,4,0,9,0,2,1,2,0.731025119595725,0.6503521012136098,0.9104544987146528,0.15747637671470496,4120,2011,27,1,0
271,4,0,9,0,3,1,2,0.7289150907692125,0.6511829991714646,0.8727506426735216,0.22339497899274696,3907,2011,28,2,0
274,4,0,10,0,6,0,2,0.44411815857645076,0.4381489011144795,0.775064267352185,0.5343256978015805,2429,2011,1,5,0
275,4,0,10,0,0,0,2,0.3766111595336217,0.34948565709983265,0.8140534704370179,0.3822160016985001,2918,2011,2,6,0
276,4,0,10,0,1,1,2,0.41141967346829245,0.41082377822559046,0.7823475578406168,0.08210607964814556,3570,2011,3,0,0
285,4,0,10,0,3,1,3,0.6128862890655951,0.5757839318773935,0.9318766066838045,0.43878289734959947,2416,2011,12,2,0
286,4,0,10,0,4,1,2,0.6709013227994753,0.6205277212761331,0.922022622107969,0.2085872083976204,2913,2011,13,3,0
287,4,0,10,0,5,1,2,0.6223795201386872,0.5914804212613267,0.736503856041131,0.3862631415717662,3644,2011,14,4,0
292,4,0,10,0,3,1,3,0.6108686610215273,0.5707053470449435,0.920531619537275,0.4283707102211058,2424,2011,19,2,0
299,4,0,10,0,3,1,2,0.5379960877761866,0.5168846865900157,0.7407886889460152,0.22342311418972682,3894,2011,26,2,0
300,4,0,10,0,4,1,2,0.5200640071611872,0.4961450535187543,0.8359043701799485,0.3297330381013329,2659,2011,27,3,0
301,4,0,10,0,5,1,2,0.34391140866132025,0.3146942663052894,0.602398971722365,0.39837426174866297,3747,2011,28,4,0
302,4,0,10,0,6,0,3,0.24687033486803017,0.1953770570303155,0.9074550128534702,0.6621785256161228,627,2011,29,5,0
303,4,0,10,0,0,0,1,0.32914500416816134,0.31799816861164165,0.6413881748071979,0.2839678938446032,3331,2011,30,6,0
304,4,0,10,0,1,1,1,0.35551466856092495,0.3635912328582994,0.723221593830334,0.1318928256762673,3669,2011,31,0,0
305,4,0,11,0,2,1,1,0.4325148986768461,0.41744208391833093,0.7030848329048842,0.19513425574937335,4068,2011,1,1,0
307,4,0,11,0,4,1,1,0.4420081297499382,0.42903658891316965,0.7219362467866323,0.19783090616760304,3974,2011,3,3,0
308,4,0,11,0,5,1,2,0.4356793090345435,0.4257169349867633,0.640102827763496,0.4899218642294948,4046,2011,4,4,0
309,4,0,11,0,6,0,1,0.33863823524125336,0.32131257199802987,0.5338478149100256,0.3109019343380772,3926,2011,5,5,0
310,4,0,11,0,0,0,1,0.3660622811652018,0.3718542702116912,0.755355269922879,0.10095319883122061,3649,2011,6,6,0
311,4,0,11,0,1,1,1,0.4251316964302667,0.42240778214039304,0.7802056555269922,0.025574244780975086,4035,2011,7,0,0
313,4,0,11,0,3,1,1,0.43146051714566136,0.43318189025741294,0.7797768637532133,0.036332278407729623,4109,2011,9,2,0
314,4,0,11,0,4,1,2,0.40614523428408256,0.38676974176794077,0.8363321336760924,0.31091275556768494,2933,2011,10,3,0
315,4,0,11,1,5,0,1,0.33547382488355604,0.2989492094261894,0.4588688946015423,0.58275935727956,3368,2011,11,4,0
316,4,0,11,0,6,0,1,0.3766111595336217,0.3660576740317741,0.5685521850899742,0.36067959053332854,4067,2011,12,5,0
317,4,0,11,0,0,0,1,0.4831454644000037,0.4613654764392517,0.4712935732647814,0.5114387971813725,3717,2011,13,6,0
320,4,0,11,0,3,1,3,0.5031875738415157,0.4895057456659417,0.9562982005141387,0.19785687711866146,1817,2011,16,2,0
321,4,0,11,0,4,1,2,0.3576246973874375,0.3204816740401749,0.5921161953727506,0.5626037350123264,3053,2011,17,3,0
322,4,0,11,0,5,1,1,0.27218561772960903,0.25419360631240917,0.42159383033419007,0.26647212981493307,3392,2011,18,4,0
323,4,0,11,0,6,0,1,0.34180264559895074,0.32213821941586684,0.5162807197943443,0.3875898243216657,3663,2011,19,5,0
324,4,0,11,0,0,0,2,0.51162515761928,0.4961608051388085,0.7039413881748071,0.3041668010302676,3520,2011,20,6,0
325,4,0,11,0,1,1,3,0.49158431394191104,0.48041443562470393,0.93573264781491,0.200508078372539,2765,2011,21,0,0
326,4,0,11,0,2,1,3,0.4525570081183581,0.4497434061093183,0.9897172236503855,0.15882037343197675,1607,2011,22,1,0
327,4,0,11,0,3,1,2,0.4831454644000037,0.4613484121841931,0.7793491002570693,0.6285331585199759,2566,2011,23,2,0
328,4,0,11,1,4,0,1,0.3977063847421753,0.385128948012303,0.5646961439588687,0.2638122715773695,1495,2011,24,3,0
329,4,0,11,0,5,1,1,0.39981641356868786,0.3958925550492867,0.6619537275064267,0.11576010372797851,2792,2011,25,4,0
330,4,0,11,0,6,0,1,0.40087079509987256,0.4016891512292039,0.7009429305912596,0.0498047092692705,3068,2011,26,5,0
331,4,0,11,0,0,0,1,0.506351984199213,0.4945095103031346,0.7180802056555269,0.35395311420920506,3071,2011,27,6,0
332,4,0,11,0,1,1,1,0.5624392591431839,0.5395617689279342,0.7640544987146528,0.20931223078133387,3867,2011,28,0,0
333,4,0,11,0,2,1,2,0.5052963369038852,0.48870110040817694,0.8543269922879176,0.46029983030147714,2914,2011,29,1,0
334,4,0,11,0,3,1,1,0.3365282064147408,0.30473005398605246,0.6306766066838045,0.48857786751222304,3613,2011,30,2,0
335,4,0,12,0,4,1,1,0.32070615462625407,0.297291351415493,0.5394169665809767,0.378201325514057,3727,2011,1,3,0
336,4,0,12,0,5,1,1,0.32281618345276664,0.3312610326972128,0.6435300771208224,0.11978170549937053,3940,2011,2,4,0
337,4,0,12,0,6,0,1,0.3038297213065826,0.30392015818826956,0.6302488431876606,0.1090238882972081,3614,2011,3,5,0
338,4,0,12,0,0,0,1,0.34391140866132025,0.3544513553218948,0.7977717223650385,0.0834316802750843,3485,2011,4,6,0
339,4,0,12,0,1,1,2,0.41352843653066196,0.4132902193990652,0.8504709511568123,0.0363593314817488,3811,2011,5,0,0
340,4,0,12,0,2,1,3,0.5105707760880952,0.4952970913058407,0.9764349614395885,0.40509208108910044,2594,2011,6,1,0
341,4,0,12,0,3,1,3,0.44411815857645076,0.42158738526257417,0.9978580976863751,0.47779343008522573,705,2011,7,2,0
342,4,0,12,0,4,1,1,0.2616367393611891,0.23347628803622444,0.5964010282776349,0.4212698193525571,3322,2011,8,3,0
343,4,0,12,0,5,1,1,0.29328084293816264,0.31302721984956144,0.7155095115681233,0.08074455253890936,3620,2011,9,4,0
344,4,0,12,0,6,0,1,0.2732399992607938,0.2459121920689542,0.5218508997429304,0.40647286998703824,3190,2011,10,5,0
345,4,0,12,0,0,0,1,0.20467735292263678,0.2285092771791578,0.5038560411311053,0.04573787475811847,2743,2011,11,6,0
346,4,0,12,0,1,1,1,0.2268282254265182,0.25087920292602084,0.6898025706940873,0.039046675642515905,3310,2011,12,0,0
347,4,0,12,0,2,1,1,0.2827332303338858,0.29149475523557594,0.6066838046272492,0.20591003619268455,3523,2011,13,1,0
348,4,0,12,0,3,1,2,0.3270349753416487,0.3403562806434641,0.6825192802056553,0.03365402407983292,3740,2011,14,2,0
349,4,0,12,0,4,1,2,0.4599402103649375,0.4373271916016562,0.6520997429305911,0.48183407722072724,3709,2011,15,3,0
350,4,0,12,0,5,1,2,0.39981641356868786,0.36852936574526685,0.5145676092544986,0.4656736529246428,3577,2011,16,4,0
351,4,0,12,0,6,0,2,0.25214350828809706,0.2235435789570957,0.576692030848329,0.42799845992260216,2739,2011,17,5,0
352,4,0,12,0,0,0,1,0.2268282254265182,0.21856606701999293,0.6028277634961439,0.2691687802331629,2431,2011,18,6,0
353,4,0,12,0,1,1,1,0.27535002808730635,0.264972964969447,0.6555269922879176,0.27591473477058015,3403,2011,19,0,0
354,4,0,12,0,2,1,2,0.41352843653066196,0.4166098733254714,0.6122539845758354,0.03497962470677174,3750,2011,20,1,0
355,1,0,12,0,3,1,2,0.467323412611517,0.4580405719728273,0.8826046272493573,0.3808893189486006,2660,2011,21,2,0
356,1,0,12,0,4,1,2,0.4609945918961223,0.455551816004276,0.7789203084832903,0.004039997861725042,3068,2011,22,3,0
357,1,0,12,0,5,1,1,0.3977063847421753,0.3917472537050435,0.7056555269922878,0.49526105891791583,2209,2011,23,4,0
358,1,0,12,0,6,0,1,0.30804851319546467,0.2890059992670245,0.5578406169665808,0.3135899277726208,1011,2011,24,5,0
